Specimen.number	Plant.ID	Damage	area_leaf	hole_dam	margin_dam	skele_dam	surf_dam	ps_dam	ovi_dam	mine_dam	gall_dam	fungal_dam	bug_area_dam	fung_bug_comb_area_dam	fung_bug_perc_area_dam	bug_perc_area_dam
5789	Dicot sp.WR029	"15, 31(60)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5791	Dicot sp.WR029	"2(11), 5, 12, 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5793	Populus cinnamomoides	"1, 2(2)"	25.94	0.028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5794	Symplocos incondita	"31(2), 32(3), 34"	36.75	NA	NA	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	NA
5795	Symplocos incondita	"34(2), 145, F"	23.4	NA	NA	NA	NA	NA	NA	NA	0.029	0.161	NA	NA	NA	NA
5798	Platanites raynoldsii	"2(2), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5800	Dicot sp.WR028	"2(3), FFB"	30.49	0.055	NA	NA	NA	NA	NA	NA	NA	0.432	NA	NA	NA	NA
5801	Dicot sp.WR007	"57, F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5807	Populus cinnamomoides	"1, 3, 16, 17(4), FFB"	110.8	0.079	NA	1.023	NA	NA	NA	NA	NA	0.018	NA	NA	NA	NA
5810	Dombeya novi-mundi	FFB	17.67	NA	NA	NA	NA	NA	NA	NA	NA	0.017	NA	NA	NA	NA
5811	Symplocos incondita	"33, 34(3), FFB"	31.02	NA	NA	NA	NA	NA	NA	NA	0.398	NA	NA	NA	NA	NA
5812	Dicot sp.WR007	"3(4), 34(2), 57, FFB"	46.55	2.297	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA	NA
5813	Dicot sp.WR007	30	24.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5814	Apeiba improvisa	"8, 50"	20.02	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5815	Dicot sp.WR007	"2(3), 66"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5816	Dicot sp.WR007	"2, 12, 13"	21.73	0.027	0.891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5817	Dicot sp.WR007	"12, 14, 32(3)"	14.48	NA	0.495	NA	NA	NA	NA	NA	0.006	NA	NA	NA	NA	NA
5818	Dicot sp.WR007	"2(3), FFB"	30.77	0.032	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA
5819	Dicot sp.WR007	46(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5823	Dicot sp.WR007	32	3.117	NA	NA	NA	NA	NA	NA	NA	0.004	NA	NA	NA	NA	NA
5824	Dicot sp.WR007	"2, 29"	18.75	0.012	NA	NA	0.013	NA	NA	NA	NA	NA	NA	NA	NA	NA
5826	Symplocos incondita	5	15.08	0.255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5827	Dicot sp.WR007	"2(10), 4, 12(2), 29"	38.77	0.269	0.369	NA	0.007	NA	NA	NA	NA	NA	NA	NA	NA	NA
5830	Symplocos incondita	"1(17), 2(6), 3(2)"	24.9	1.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5831	Dicot sp.WR007	"13, 32(3), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5832	Dicot sp.WR007	31	33.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5833	Dicot sp.WR007	"30, 45"	25.18	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5834	Dicot sp.WR007	46(3)	6.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5836	Dicot sp.WR007	"31, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5837	Dicot sp.WR007	"2, 12"	29.11	0.011	0.324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5838	Dicot sp.WR007	"34, 69"	35.47	NA	NA	NA	NA	NA	NA	0.028	NA	NA	NA	NA	NA	NA
5840	Dicot sp.WR007	"2(3), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5841	Dicot sp.WR007	"2(3), 36(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5851	Dicot sp.WR007	"2(7), 3(6), 8(3)"	25.58	0.079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5853	Populus cinnamomoides	"2, 3, 4, F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5856	Populus cinnamomoides	"2, 12"	17.91	0.013	0.107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5858	Apeiba improvisa	12	23.69	NA	0.075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5859	Dicot sp.WR007	"2(2), 3, 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5861	Populus cinnamomoides	"34(2), F"	27.96	NA	NA	NA	NA	NA	NA	NA	NA	0.513	NA	NA	NA	NA
5862	Populus cinnamomoides	"2, 30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5864	Dicot sp.WR007	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5865	Populus cinnamomoides	"2, 57"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5866	Populus cinnamomoides	"1, 2(2), 3(3), 57(2), FFB"	17.893	0.503	NA	NA	NA	NA	NA	NA	NA	0.029	NA	NA	NA	NA
5868	Populus cinnamomoides	"2(3), 17"	31.66	0.065	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5869	Populus cinnamomoides	"2, 8"	78.76	0.512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5871	Platanites raynoldsii	"2, 13"	32.1	0.036	0.217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5874	Platanites raynoldsii	2(5)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5875	Platanites raynoldsii	"2(2), 32(3)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5876	Platanites raynoldsii	"2(2), 13, 34, F"	22.166	0.019	0.45	NA	NA	NA	NA	NA	0.011	NA	NA	NA	NA	NA
5878	Platanites raynoldsii	2	3.391	0.004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5879	Dicot sp.WR007	"2(7), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5881	Platanites raynoldsii	"12, F"	36.72	NA	0.467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5882	Populus cinnamomoides	"2, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5883	Platanites raynoldsii	"2(3), 4(3), 12, 13, F"	42.79	0.666	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5885	Macginitiea gracilis	"1(4), 12"	122.69	0.019	0.306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5886	Macginitiea wyomingensis	"2(2), 16"	201.4	0.091	NA	9.917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5887	Macginitiea gracilis	"4, 5, 16(2)"	70.64	0.627	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5889	Macginitiea gracilis	12	64.64	NA	0.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5945	Macginitiea wyomingensis	"1, 8(3)"	112.16	0.078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5949	Macginitiea gracilis	"2(7), 3(2)"	121.17	0.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5950	Apeiba improvisa	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5952	Dicot sp.WR007	"2(2), FFB"	11.85	0.069	NA	NA	NA	NA	NA	NA	NA	0.044	NA	NA	NA	NA
5953	Dicot sp.WR028	"13, FFB"	27.02	NA	3.54	NA	NA	NA	NA	NA	NA	0.014	NA	NA	NA	NA
5954	Dicot sp.WR029	"1(2), 2(3), 5(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5958	Dicot sp.WR028	12	13.62	NA	0.074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5961	Apeiba improvisa	"2, 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5962	Dicot sp.WR033	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5963	Apeiba improvisa	"16, 31"	17.94	NA	NA	0.32	NA	NA	NA	NA	0.007	NA	NA	NA	NA	NA
5964	Dicot sp.WR033	"3, 5, 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5967	Apeiba improvisa	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5968	Dicot sp.WR033	"3, 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5970	Dicot sp.WR028	2	33.1	0.032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5974	Dicot sp.WR028	0	51.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5975	Dicot sp.WR029	"2(3), 16(6)"	23.37	0.03	NA	0.043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5976	Dicot sp.WR029	2(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5980	Apeiba improvisa	"2, 12, F"	34.478	0.01	0.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5981	Dicot sp.WR032	"2, 3(3), 5(2), 57(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5982	Dicot sp.WR028	"2(2), 12, 29, 57, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5984	Dicot sp.WR033	"12, 143"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5985	Dicot sp.WR034	"30, 32(3)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5987	Dicot sp.WR033	"3(2), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5992	Dombeya novi-mundi	"2(5), 3, 17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5993	Dombeya novi-mundi	"2(24), 5(2), 12, 57"	99.9	0.581	1.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6320	Macginitiea gracilis	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6322	Macginitiea gracilis	29	39.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6323	Macginitiea gracilis	"2(4), 3, 12, 17, 50, FFB"	61.73	0.073	NA	4.08	NA	NA	NA	NA	NA	0.147	NA	NA	NA	NA
6324	Macginitiea gracilis	"1(7), 2(2), 4, 8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7029	Dicot sp.WR031	"3, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7032	Symplocos incondita	"2(2), 12, 17, F"	34.23	0.25	0.084	1.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7033	Populus cinnamomoides	2(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7033	Populus cinnamomoides	"1, 2, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7034	Populus cinnamomoides	"34(2), F"	5	NA	NA	NA	NA	NA	NA	NA	0.097	0.029	NA	NA	NA	NA
7036.2	Platanites raynoldsii	"32(2), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7037	Platanites raynoldsii	"2(3), 9"	37.62	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7038	Populus cinnamomoides	"2(2), 50(4), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7039	Macginitiea gracilis	"2(7), 5 (3), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7040	Dicot sp.WR007	32(5)	23.54	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7041	Juglandaceae sp.WR035	"5, 12(3), 40, 63"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7045	Platanites raynoldsii	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7049	Dicot sp.WR031	"8(2), 10(4), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7051	Apeiba improvisa	"2(2), F"	45.55	0.054	NA	NA	NA	NA	NA	NA	NA	5.173	NA	NA	NA	NA
7914	Apeiba improvisa	"2, 12, 13, 14"	81.6	0.005	16.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7915	Dicot sp.WR029	"2(2), 12, 31(50), 57"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7916	Dicot sp.WR029	"2, 12, F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7917	Dicot sp.WR029	FB	47.61	NA	NA	NA	NA	NA	NA	NA	NA	2.53	NA	NA	NA	NA
7918	Dicot sp.WR028	"12, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7920	Apeiba improvisa	"3, 5, 57"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7921	Dicot sp.WR028	"2(2), 64"	40.1	0.209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7925	Apeiba improvisa	"1(2), 2(3), 5(2)"	59.4	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7926	Dicot sp.WR029	"12(3), 31(20)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7927	Apeiba improvisa	"2(3), 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7928	Dicot sp.WR029	"2, 12(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7929	Dicot sp.WR007	"57, F"	46.72	0.101	NA	NA	NA	NA	NA	NA	NA	2.61	NA	NA	NA	NA
7930	Dicot sp.WR029	"3, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7934	Dombeya novi-mundi	"2, 34, 57, 83(4)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7934	Dombeya novi-mundi	"32(3), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7937.1	Macginitiea gracilis	"1(2), 2(3), 5, 17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7939	Dicot sp.WR029	"34, F"	54.02	NA	NA	NA	NA	NA	NA	NA	0.011	NA	NA	NA	NA	NA
