Specimen.number	Plant.ID	Damage	area_leaf	hole_dam	margin_dam	skele_dam	surf_dam	ps_dam	ovi_dam	mine_dam	gall_dam	fungal_dam	bug_area_dam	fung_bug_comb_area_dam	fung_bug_perc_area_dam	bug_perc_area_dam
8040	Symplocos incondita	"3, 46(3), F"	16.25	0.091	NA	NA	1.813	NA	NA	NA	NA	NA	NA	NA	NA	NA
8042	Dicot sp.WR033	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8043	Dicot sp.WR007	"2(2), 12"	16.39	0.031	0.192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8044	Macginitiea wyomingensis	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8047	Apeiba improvisa	3	9.8	0.021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8049	Dicot sp.WR007	2(3)	13.06	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8050	Dicot sp.WR028	110	63.498	NA	NA	NA	NA	NA	NA	NA	0.187	NA	NA	NA	NA	NA
8051	Dicot sp.WR007	1	27.41	0.004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8053	Dicot sp.WR007	"30(4), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8054	Dicot sp.WR007	"8, 12(2), 57"	8.99	0.042	0.195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8055	Dicot sp.WR007	"34(2), 43"	22.21	NA	NA	NA	NA	NA	NA	0.818	NA	0.037	NA	NA	NA	NA
8056	Dicot sp.WR007	"2, 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8057	Macginitiea gracilis	"1(11),3,  5(5), 12, 15(3), 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8058	Macginitiea gracilis	"2(3), 29(2)"	21.05	0.027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8059	Macginitiea gracilis	29(2)	68.22	NA	NA	NA	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA
8061	Macginitiea gracilis	"1(22), 2(10), 3(4), 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8062	Dombeya novi-mundi	"5(2), 14, 63"	78.41	4.716	5.532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8064	Dicot sp.WR007	"4, F, FFB"	50.02	0.309	NA	NA	NA	NA	NA	NA	NA	2.048	NA	NA	NA	NA
8066	Dicot sp.WR007	"2, 30(4)"	23.23	0.01	NA	NA	0.384	NA	NA	NA	NA	NA	NA	NA	NA	NA
8072	Populus cinnamomoides	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8074	Populus cinnamomoides	29	8.8	NA	NA	NA	0.015	NA	NA	NA	NA	NA	NA	NA	NA	NA
8080	Dicot sp.WR007	"30(2), 34(2)"	16.61	NA	NA	NA	0.918	NA	NA	NA	0.061	NA	NA	NA	NA	NA
8084	Dicot sp.WR028	"5, F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8090	Symplocos incondita	"29, FFB"	8.067	NA	NA	NA	0.051	NA	NA	NA	NA	1.257	NA	NA	NA	NA
8091	Symplocos incondita	"3, 12(2), 57"	37.12	1.217	0.137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8092	Symplocos incondita	"2(8), 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8093	Symplocos incondita	31(3)	11.85	NA	NA	NA	0.069	NA	NA	NA	NA	NA	NA	NA	NA	NA
8102	Symplocos incondita	30(2)	8.926	NA	NA	0.051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8106	Dicot sp.WR007	"1, 2(3)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8107	Dicot sp.WR028	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8108	Dicot sp.WR007	"30(4), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8109	Dicot sp.WR027	"12, 13, 30, 83"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8110	Dicot sp.WR028	2	92.59	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8111	Dicot sp.WR007	2(3)	8.52	0.074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8112	Dicot sp.WR033	"2(2), 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8113	Dicot sp.WR007	"110, F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8114	Symplocos incondita	"1(2), 2(5), 4(5), 34(7)"	38.98	1.029	NA	NA	NA	NA	NA	NA	0.209	NA	NA	NA	NA	NA
8115	Dicot sp.WR031	"12, 32(4)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8116	Symplocos incondita	"1, 12, 30, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8117	Dicot sp.WR028	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8120	Dicot sp.WR028	"2(2), 31(21)"	90.69	0.102	NA	NA	NA	NA	NA	NA	0.072	NA	NA	NA	NA	NA
8121	Dicot sp.WR007	"13, 32(6)"	31.08	NA	0.344	NA	NA	NA	NA	NA	0.085	NA	NA	NA	NA	NA
8127	Dicot sp.WR029	"3, 32(2), F"	40.18	0.061	NA	NA	NA	NA	NA	NA	0.155	0.401	NA	NA	NA	NA
8130	Macginitiea gracilis	"2(2), 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8131	Dicot sp.WR007	2(7)	24.95	0.137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8132.2	Dombeya novi-mundi	"3(2), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8133	Dombeya novi-mundi	"2(3), 5(2), 12(2), 14"	156.44	2.99	4.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8136	Symplocos incondita	"2, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8137	Populus cinnamomoides	"1, 2"	59.65	0.178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8138	Dicot sp.WR033	12(4)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8141	Dicot sp.WR033	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8143	Dicot sp.WR007	12(2)	24.06	NA	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8144	Dicot sp.WR007	"4(2), 12(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8146	Dicot sp.WR007	30	12.07	NA	NA	NA	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA
8147	Dicot sp.WR007	"12(2), 31, FFB"	26.43	NA	1.52	NA	NA	NA	NA	NA	NA	0.06	NA	NA	NA	NA
8152	Macginitiea wyomingensis	"2(2), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8155	Dicot sp.WR007	"12, 34, 48(6), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8158	Dicot sp.WR034	"12, F"	15.85	0.123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8159	Dicot sp.WR028	"2(3), 12, 30(10)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8162	Symplocos incondita	"12(2), 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8165	Dombeya novi-mundi	"2(9), 5(3), 12(3), 13, 14, 15"	160.12	2.51	4.718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8166	Dicot sp.WR007	"12, 31(2), F"	32.56	0.177	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA
8169	Dicot sp.WR007	"1, 2(8), F"	19.17	0.149	NA	NA	NA	NA	NA	NA	NA	0.106	NA	NA	NA	NA
8170	Dicot sp.WR007	"2(2), 7, 14"	27.91	0.38	3.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8173	Dicot sp.WR007	"3(4), 5(2), 12"	29.39	0.316	0.036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8177	Populus cinnamomoides	4(2)	26.56	0.312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8180	Dicot sp.WR007	"2(6), 3(2), 12, 29, FFB"	45.64	0.213	0.642	NA	0.131	NA	NA	NA	NA	0.03	NA	NA	NA	NA
8181	Dicot sp.WR007	"65, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8182	Dicot sp.WR007	31(3)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8184	Dicot sp.WR007	"2, 30"	15.73	0.011	NA	NA	0.285	NA	NA	NA	NA	NA	NA	NA	NA	NA
8187	Dicot sp.WR007	12	10.49	NA	0.177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8188	Apeiba improvisa	31(2)	13.13	NA	NA	NA	0.011	NA	NA	NA	NA	NA	NA	NA	NA	NA
8191	Apeiba improvisa	"1, F"	31.99	0.031	NA	NA	NA	NA	NA	NA	NA	0.157	NA	NA	NA	NA
8193	Dicot sp.WR033	"13, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8195	Dicot sp.WR007	"31(4), 145,  FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8196	Dicot sp.WR028	110	15.5	NA	NA	NA	NA	NA	NA	NA	0.079	NA	NA	NA	NA	NA
8198	Apeiba improvisa	"2(7), 12(2), F"	30.42	0.398	0.302	NA	NA	NA	NA	NA	NA	1.57	NA	NA	NA	NA
8199	Dicot sp.WR007	12(2)	16.81	NA	0.058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8204	Populus cinnamomoides	"34(12), F"	27.73	NA	NA	NA	NA	NA	NA	NA	0.276	0.271	NA	NA	NA	NA
8310	Dicot sp.WR028	"13, 31(4), F"	30.04	NA	3.36	NA	NA	NA	NA	NA	0.077	0.186	NA	NA	NA	NA
8312	Juglandaceae sp.WR035	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8316	Dicot sp.WR007	"2(3), 3(17)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8318	Juglandaceae sp.WR035	2(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8323	Dicot sp.WR033	"2, 12, 16(2), 34(5)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8324	Apeiba improvisa	"2, 12(2)"	7.14	0.058	0.113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8328	Apeiba improvisa	"5, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8330	Dicot sp.WR007	13	6.301	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8333	Apeiba improvisa	"1(6), 3, 10, 32(6), 100"	27.2	0.051	0.411	NA	NA	NA	0.155	0.057	0.025	NA	NA	NA	NA	NA
8334	Apeiba improvisa	"145, F"	39.95	NA	NA	NA	NA	NA	NA	NA	0.033	4.41	NA	NA	NA	NA
8337	Symplocos incondita	"5, FFB"	17.23	1.14	NA	NA	NA	NA	NA	NA	NA	1.69	NA	NA	NA	NA
8339	Symplocos incondita	13	16.11	NA	0.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8342	Dicot sp.WR033	"2, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8344	Dombeya novi-mundi	65	57.4	NA	NA	NA	NA	NA	NA	2.11	NA	NA	NA	NA	NA	NA
8345	Dicot sp.WR007	31	32.54	NA	NA	NA	0.594	NA	NA	NA	NA	NA	NA	NA	NA	NA
8348	Symplocos incondita	"2, 34(6), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8350	Apeiba improvisa	"2, 12(3), 13, 34(3), F"	52.4	0.024	1.74	NA	NA	NA	NA	NA	0.059	NA	NA	NA	NA	NA
8351	Dicot sp.WR029	"4(2), 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8353	Apeiba improvisa	"2(2), 122(2)"	33.36	0.047	NA	NA	NA	NA	NA	NA	0.08	NA	NA	NA	NA	NA
8355	Dombeya novi-mundi	"2, 3, 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8356	Dicot sp.WR030	"2(3), 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8358	Symplocos incondita	"2, 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8360	Symplocos incondita	"2, 34, FFB"	8.95	0.008	NA	NA	NA	NA	NA	NA	0.003	0.528	NA	NA	NA	NA
8366	Dicot sp.WR007	"12(2), 63"	6.66	0.052	0.019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8369	Dicot sp.WR007	"4, 31, FFB"	35.04	0.152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8370	Dicot sp.WR007	"3(2), 12"	9.713	0.062	0.023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8371	Symplocos incondita	"1(4), 2, 3(2), F"	6.28	0.049	NA	NA	NA	NA	NA	NA	NA	0.395	NA	NA	NA	NA
8373	Dicot sp.WR007	"28, FFB"	15.21	NA	NA	NA	0.958	NA	NA	NA	NA	0.015	NA	NA	NA	NA
8374	Dicot sp.WR007	"2(2), 5, 14"	26.84	0.57	2.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8376	Dicot sp.WR007	"12, FFB"	21.42	NA	0.172	NA	NA	NA	NA	NA	NA	0.059	NA	NA	NA	NA
8377	Symplocos incondita	"1(3), 3(7), 5(2), 12(4), 83, 110, FFB"	33.4	1.26	0.213	NA	NA	NA	NA	NA	0.388	0.213	NA	NA	NA	NA
8378	Dicot sp.WR007	"2(5), 5, 8, 13"	17.4	0.424	0.915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8380	Dicot sp.WR007	"2, FFB"	22.89	0.091	NA	NA	NA	NA	NA	NA	NA	0.212	NA	NA	NA	NA
8386	Dicot sp.WR007	"12, FFB"	15.974	NA	0.142	NA	NA	NA	NA	NA	NA	0.0391	NA	NA	NA	NA
8387	Macginitiea gracilis	2(110)	68.78	NA	NA	NA	NA	NA	NA	NA	0.987	NA	NA	NA	NA	NA
8600	Apeiba improvisa	"2(3), FFB"	17.306	0.21	NA	NA	NA	NA	NA	NA	NA	0.128	NA	NA	NA	NA
8602	Populus cinnamomoides	"32(6), FFB"	49.42	NA	NA	NA	NA	NA	NA	NA	0.127	1.168	NA	NA	NA	NA
8603	Populus cinnamomoides	"2(3), 29(3)"	50.82	0.103	NA	NA	0.074	NA	NA	NA	NA	NA	NA	NA	NA	NA
8604	Populus cinnamomoides	"29, FFB"	31.06	NA	NA	NA	0.471	NA	NA	NA	NA	3.48	NA	NA	NA	NA
8605	Populus cinnamomoides	2(3)	21.7	0.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8606	Macginitiea gracilis	2(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8607	Macginitiea gracilis	"1(7), 2(5)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8608	Dicot sp.WR033	"12, 29(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8609	Dicot sp.WR033	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8610	Symplocos incondita	"2, 12, 34(2), F, FFB"	26.83	0.027	0.234	NA	NA	NA	NA	NA	0.014	0.192	NA	NA	NA	NA
8612	Dicot sp.WR029	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8613	Symplocos incondita	2	4.71	0.007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8616	Dicot sp.WR007	"12, 32(7), FFB"	25.57	NA	0.141	NA	NA	NA	NA	NA	0.031	0.067	NA	NA	NA	NA
8617	Dicot sp.WR028	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8618	Dicot sp.WR028	"2(4), 4, 12, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8619	Dicot sp.WR007	"2(2), 63, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8621	Dicot sp.WR007	36	8.58	NA	NA	NA	NA	NA	NA	0.171	NA	NA	NA	NA	NA	NA
8622	Dicot sp.WR007	FFB	9.61	NA	NA	NA	NA	NA	NA	NA	NA	0.449	NA	NA	NA	NA
8623	Dicot sp.WR007	"2, 36"	21.97	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8624	Dicot sp.WR007	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8625	Dicot sp.WR007	"2(2), 12(4), 46(3)"	13.48	0.136	0.215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8627	Dicot sp.WR007	"2(11), 4, 12(3)"	14.61	0.325	0.524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8631	Dicot sp.WR007	"31, 100"	11.62	NA	NA	NA	0.038	NA	0.16	NA	NA	NA	NA	NA	NA	NA
8632	Dicot sp.WR007	"2(5), 12, 63"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8633	Dicot sp.WR007	"2(2), 12"	15.72	0.231	0.497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8637	Dicot sp.WR032	"12, 14, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8640	Macginitiea wyomingensis	"2, 15, 29(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8643	Dicot sp.WR029	2(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8648	Symplocos incondita	"1(2), F"	22.87	0.028	NA	NA	NA	NA	NA	NA	NA	0.625	NA	NA	NA	NA
8797	Dombeya novi-mundi	"2(6), 12, 14, F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8818	Platanites raynoldsii	"1(4), 2(8), 5(2), 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9018	Macginitiea gracilis	"2(2), 8, 12(2), 16, 50"	208.21	0.494	0.739	2.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9019	Macginitiea wyomingensis	"2, 7(5)"	22.47	0.061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9020	Macginitiea gracilis	"2, 5, 8"	105.28	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9021	Dombeya novi-mundi	"1, 2(13), 12"	134.45	0.191	0.039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9024	Populus cinnamomoides	FFB	42.98	NA	NA	NA	NA	NA	NA	NA	NA	0.065	NA	NA	NA	NA
9027	Apeiba improvisa	"1(5), 2(2), 29(3), 32(3), 57, F, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9028	Apeiba improvisa	"12, FFB"	20.79	0.017	NA	NA	NA	NA	NA	NA	NA	0.124	NA	NA	NA	NA
9029	Dicot sp.WR032	"50, 145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9030	Symplocos incondita	"2(2), 34, 83"	30.42	0.034	NA	NA	NA	NA	NA	NA	0.019	NA	NA	NA	NA	NA
9031	Dicot sp.WR007	30(9)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9032	Dicot sp.WR007	31(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9033	Dicot sp.WR007	"4, 13, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9035	Symplocos incondita	2(3)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9036	Dicot sp.WR007	"13, 14, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9039	Dicot sp.WR007	"8, 12"	41.08	0.017	0.049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9052	Dicot sp.WR007	32(3)	8.2	NA	NA	NA	NA	NA	NA	NA	0.13	NA	NA	NA	NA	NA
9053	Populus cinnamomoides	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9054	Dombeya novi-mundi	"32(4), 34(5)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9056	Dicot sp.WR007	"12, 13"	9.32	NA	0.719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9058	Dicot sp.WR033	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9061	Dicot sp.WR027	"1, 13, 57(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9062	Symplocos incondita	"2, 3(4), 4(2)"	12.32	0.313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9063	Dicot sp.WR007	"3, 4"	13.08	0.265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9066	Dicot sp.WR031	"2, 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9070	Macginitiea wyomingensis	2	40.372	0.049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9071	Macginitiea gracilis	"2, 8, 12, 29 (3)"	73.9	0.27	1.19	NA	0.042	NA	NA	NA	NA	NA	NA	NA	NA	NA
9072	Dicot sp.WR029	"2, 30(3), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9074	Dicot sp.WR033	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10150	Dicot sp.WR007	12	15.22	NA	0.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10152	Dombeya novi-mundi	"2(2), F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10154	Dicot sp.WR034	"2, 12"	7.273	0.012	0.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10156	Dicot sp.WR007	2	33.2	0.053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10157	Dicot sp.WR007	2(2)	45.79	0.047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10159	Apeiba improvisa	16	36.83	NA	NA	0.499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10161	Dicot sp.WR007	12	34.86	NA	1.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10162	Dombeya novi-mundi	"2(2), 25(2)"	67.2	0.045	NA	NA	0.132	NA	NA	NA	NA	NA	NA	NA	NA	NA
10163	Platanites raynoldsii	2(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10164	Dombeya novi-mundi	"2, 5, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10166	Apeiba improvisa	"2(2), 5, 12(2)"	14.22	0.163	0.195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10167	Apeiba improvisa	"2(4), 3(2), 12(2), 46(13)"	29.58	1.161	NA	NA	NA	0.043	NA	NA	NA	NA	NA	NA	NA	NA
41867	Dicot sp.WR007	"12, 14"	14.4	NA	1.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41868	Dicot sp.WR031	"2(8), 3(3), 5(3), 12, FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41869	Dicot sp.WR007	8(2)	50.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41873	Macginitiea gracilis	"2(2), 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41876	Juglandaceae sp.WR035	3(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41877	Dicot sp.WR029	"17, 33"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41878	Dicot sp.WR033	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41880	Dicot sp.WR027	"1(2), 2(11), 36(4)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41882	Dicot sp.WR029	"2, 5, 12(3)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41886	Dicot sp.WR032	30(3)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41887	Populus cinnamomoides	"2(2), F, FFB"	34.14	0.06	NA	NA	NA	NA	NA	NA	NA	0.551	NA	NA	NA	NA
41889	Dicot sp.WR028	"2(8), 4, FFB"	53.38	0.771	NA	NA	NA	NA	NA	NA	NA	1.476	NA	NA	NA	NA
10160.1(drk)	Symplocos incondita	"2(2), 16(2), F"	15.36	0.01	NA	0.062	NA	NA	NA	NA	NA	1.53	NA	NA	NA	NA
10160.2(lght)	Symplocos incondita	"118(2), FFB"	18.84	NA	NA	NA	NA	0.037	NA	NA	NA	NA	NA	NA	NA	NA
5726(light)	Apeiba improvisa	"1(2), 3, 12(4), 29(60), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5726.1(dark)	Apeiba improvisa	"1(2), 16(4)"	74.46	0.007	NA	4.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5739+7050	Apeiba improvisa	"2(2), 3, 12, 13, FFB"	33.82	0.022	1.02	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA
5774.1(drk)	Dicot sp.WR028	12	34.52	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5774.2(lght)	Dicot sp.WR028	"1, 32"	20.76	0.004	NA	NA	NA	NA	NA	NA	0.003	NA	NA	NA	NA	NA
5797.1(entire)	Populus cinnamomoides	"2, 5, 30"	27.29	0.074	NA	NA	0.208	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5797.2(partial, p/cp)"	Populus cinnamomoides	"1, 2, F"	44.81	0.038	NA	NA	NA	NA	NA	NA	NA	0.328	NA	NA	NA	NA
